lat,long,date,Printer,City
49.9924755,8.2462892,1452,"Johannes Gutenberg, Peter Sch?ffer, Johann Fust (investor)",Mainz
49.899189,10.9028003,1457,"Albrecht Pfister, Johann Sensenschmid (from 1480)",Bamberg
48.573462,7.752841,1460,Johannes Mentelin[15],Strassburg
50.9376259,6.9598525,1465,Ulrich Zell[14],Cologne
48.37037,10.89777,1468,G?nther Zainer[15],"Augsburg, Germany"
49.45217,11.07665,1569,"Johann Sensenschmidt, Johannes Regiomontanus (1472–75), Anton Koberger (1473–1513)[14]",Nuremberg
49.3172716,8.4413494,1471,,Speyer
48.5702584,10.4297114,1472,,Lauingen
48.7430732,9.3200745,1473,,Esslingen am Neckar
51.3566014,11.991206,1473,,Merseburg
48.40104,9.9876944,1473,,"Ulm, Germany"
50.9848512,11.0298458,1474,,Erfurt
53.8653277,10.6867522,1474,,"Lubeck,Germany"
46.0747649,11.1217507,1475,,Trento
48.4085784,9.7836021,1475,,Blaubeuren
54.0918687,12.1000194,1475,,Rostock
48.5066091,9.203531,1476,,Reutlingen
47.9841366,10.1800949,1478,Albrecht Kunne (de)[20],Memmingen
49.791097,9.9541685,1479,Georg Reyser,W?rzburg
52.1206145,11.6274711,1479,,Magdeburg
48.56672,13.43167,1480,,Passau
51.33937,12.37229,1480,"Konrad Kachelofen (de), Andreas Friesner",Leipzig
49.0357699,11.5768459,1480,,Eichst?tt
48.2081992,16.3735511,1482,Johann Winterburger[17],Vienna
48.1349818,11.5816796,1482,Johann Schauer,Munich
49.3986241,8.6728586,1482,,Heidelberg
48.7662632,11.4255495,1484,,Ingolstadt
51.9606179,7.6261292,1485,,M?nster
49.0138,12.10211,1485,,Regensburg
54.5237896,9.5641068,1486,Stephan Arndes,Schleswig
48.7757495,9.1827676,1486,,Stuttgart
53.5512306,9.9938557,1488,,Hamburg
48.8132355,7.791152,1489,,Hagenau
47.9993055,7.8417916,1491,,Freiburg
54.0393968,19.0275578,1492,Jakob Karweyse,Marienburg
35.291327,-93.634899,1465,"Arnold Pannartz, Konrad Sweynheym",Subiaco
41.9032321,12.4963476,1467,"Ulrich Hahn, Arnold Pannartz, Konrad Sweynheym (from 1467)",Rome
45.4408079,12.3155885,1469,"Johann von Speyer, shortly afterwards Nikolaus Jenson from Tours, Aldus Manutius",Venice
45.4636631,9.1897884,1470,"Filippo de Lavagna, Antonio Zaroto, shortly afterwards Waldarfer von Regensburg",Milan
40.8517989,14.268324,1470,,Naples
43.7697716,11.2558057,1471,Demetrius Damilas,Florence
44.4060093,8.9465357,1471,,Genoa
44.8382154,11.6198524,1471,,Ferrara
44.4950959,11.3427892,1471,,Bologna
45.4065366,11.8767904,1471,,Padua
45.6668103,12.2428583,1471,,Treviso
44.801445,10.3274718,1472,,Parma
45.184723,9.1580589,1473,,Pavia
45.5413936,10.2118945,1473,,Brescia
44.6470851,10.9250966,1473,,Modena
43.3189018,11.3307182,1484,,Siena
